clips	text	text_process	pictos	tokens
cefc-fleuron-V_Scol_exo_01_P16-46	mais je sais pas si ce sera accepté ou	mais je sais pas si ce sera accepté ou	[11377, 9829, 5526, 28359, 7095, 25752, 11317]	alors_que prochain non si celui-là accepter ou
cefc-fleuron-V_Scol_exo_01_P16-2	je demande parce que j'ai fait une demande d'admission	je demande parce que j'ai fait une demande d'admission	[9839, 6632, 9840, 11348, 6632, 6190, 8474, 7217, 7074, 38356]	passé me demander parce_que me faire une question de admission
cefc-fleuron-V_Scol_exo_01_P16-56	d'accord ok il faut attendre au moins une semaine encore	d'accord ok il faut attendre au moins une semaine encore	[31410, 15523, 28677, 11709, 5512, 8474, 37732, 37163]	d'accord devoir attendre au minimum une semaine une_autre_fois
cefc-fleuron-V_Scol_exo_01_P16-39	euh sous peu on aura	euh sous peu on aura	[5546, 9829, 31672, 32761]	peu prochain nous avoir
cefc-fleuron-V_Scol_exo_01_P16-43	même si vous êtes pas inscrit vous avez la possibilité d'aller	même si vous êtes pas inscrit vous avez la possibilité d'aller	[4667, 28359, 7304, 9901, 5526, 7304, 32761, 8476, 37861, 7074, 8142]	même si vous enregistrement non vous avoir le décider de aller
cefc-fleuron-V_Scol_exo_01_P16-21	nnaammee nnaammee	nnaammee nnaammee	[36935]	haut_du_corps
cefc-fleuron-V_Scol_exo_01_P16-10	au départ ouais	au départ oui	[5431, 5584]	commencer oui
cefc-fleuron-V_Scol_exo_01_P16-30	d'accord juste juste hier ok	d'accord juste juste hier ok	[31410, 21381, 38279, 31410]	d'accord juste hier d'accord
cefc-fleuron-V_Scol_exo_01_P16-52	si vous êtes accepté vous	si vous êtes accepté vous	[28359, 7304, 25752, 7304]	si vous accepter vous
cefc-fleuron-V_Scol_exo_01_P16-6	ouais je l'ai je l'ai téléchargé sur internet	oui je l'ai je l'ai téléchargé sur internet	[5584, 9839, 6632, 8476, 32761, 6632, 8476, 27397, 5451, 5492]	oui passé me le avoir me le télécharger sur internet
cefc-fleuron-V_Scol_exo_01_P16-18	vous pouvez me donner votre nom	vous pouvez me donner votre nom	[7304, 35949, 6632, 17040, 12285, 38570]	vous pouvoir me donner votre nom
cefc-fleuron-V_Scol_exo_01_P16-33	nous avons eu quand même des vacances	nous avons eu quand même des vacances	[9839, 31672, 32761, 5374, 32442]	passé nous avoir plusieurs vacances
cefc-fleuron-V_Scol_exo_01_P16-31	depuis le mois de juillet quoi je l'ai envoyé depuis le mois de juillet	depuis le mois de juillet quoi je l'ai envoyé depuis le mois de juillet	[7077, 8476, 37724, 7074, 35931, 22620, 9839, 6632, 8476, 21828, 7077, 8476, 37724, 7074, 35931]	depuis le mois de juillet quoi passé me le envoyer depuis le mois de juillet
cefc-fleuron-V_Scol_exo_01_P16-37	mh mh oui de trois semaines je sais	mh mh oui de trois semaines je sais	[5584, 7074, 2629, 7244, 6632, 16885]	oui de trois semaines me savoir
cefc-fleuron-V_Scol_exo_01_P16-1	euh en fait bonjour	euh en fait bonjour	[6009]	bonjour
cefc-fleuron-V_Scol_exo_01_P16-41	mais vous devez aller en cours hein	mais vous devez aller en cours hein	[11377, 7304, 15523, 8142, 11709, 23404]	alors_que vous devoir aller au cours
cefc-fleuron-V_Scol_exo_01_P16-49	c'est le risque hein parce que vous risquez de justement de rater la la pré-rentrée	c'est le risque hein parce que vous risquez de justement de rater la la pré-rentrée	[7095, 36480, 8476, 25315, 11348, 7304, 26985, 7074, 7074, 29640, 8476, 11361]	celui-là être le danger parce_que vous inquiet de de rater le restaurateur
cefc-fleuron-V_Scol_exo_01_P16-11	en littérature et civilisation étrangère	en littérature et civilisation étrangère	[11709, 12333]	au association_à_but_non_lucratif
cefc-fleuron-V_Scol_exo_01_P16-15	vu que je pars en vacances dans pas longtemps	vu que je pars en vacances dans pas longtemps	[11348, 6632, 2432, 11709, 32442, 7034, 5526, 37678, 3417]	parce_que me partir au vacances dans non longtemps !
cefc-fleuron-V_Scol_exo_01_P16-8	et c'est une demande en	et c'est une demande en	[11399, 7095, 36480, 8474, 7217, 11709]	et celui-là être une question au
cefc-fleuron-V_Scol_exo_01_P16-26	ouais d'accord le dossier	oui d'accord le dossier	[5584, 31410, 8476, 3233]	oui d'accord le dossier
cefc-fleuron-V_Scol_exo_01_P16-28	et dix-neuf août nous on l'a envoyé à la commission que le neuf septembre	et dix-neuf août nous on l'a envoyé à la commission que le neuf septembre	[11399, 29276, 35941, 31672, 9839, 31672, 8476, 21828, 7041, 8476, 7064, 16087, 11351, 8476, 4705, 35929]	et 19 août nous passé nous le envoyer à le avec emploi que le neuf septembre
cefc-fleuron-V_Scol_exo_01_P16-40	donc je pense que ça va encore une semaine une semaine ou deux	donc je pense que ça va encore une semaine une semaine ou deux	[6632, 38796, 11351, 11597, 37163, 8474, 37732, 8474, 37732, 11317, 2628]	me penser que comment_ça_va une_autre_fois une semaine une semaine ou deux
cefc-fleuron-V_Scol_exo_01_P16-22	en première année c'est ça	en première année c'est ça	[11709, 4726, 6903, 7095, 36480, 6906]	au premier année celui-là être celle-là
cefc-fleuron-V_Scol_exo_01_P16-7	d'accord donc il est blanc	d'accord donc il est blanc	[31410, 6480, 36480, 2662]	d'accord il être blanc
cefc-fleuron-V_Scol_exo_01_P16-55	vous allez avoir un peu de retard	vous allez avoir un peu de retard	[9829, 7304, 32761, 29105, 7074, 37780]	prochain vous avoir seconde de retard
cefc-fleuron-V_defle_exo_04_04-277	ah il me faudrait la la carte de la carte vitale avec votre numéro de sécurité sociale	ah il me faudrait la la carte de la carte vitale avec votre numéro de sécurité sociale	[6632, 15523, 8476, 5505, 7074, 8476, 34717, 7064, 12285, 2879, 7074, 12261, 8693]	me devoir le carte_géographique de le carte_vitale avec votre numéro de sécurité société
cefc-fleuron-V_defle_exo_04_04-155	quatre cent	quatre cent	[35665, 29256]	4 cent
cefc-fleuron-V_defle_exo_04_04-104	alors inscription euh	alors inscription euh	[9902]	s'enregistrer
cefc-fleuron-V_defle_exo_04_04-235	ah epinal ça vous fait loin quand même pour venir	ah epinal ça vous fait loin quand même pour venir	[32582, 6906, 7304, 6190, 30385, 7194, 32669]	objets celle-là vous faire loin pour venir
cefc-fleuron-V_defle_exo_04_04-194	alors je vais peut-être changer	alors je vais peut-être changer	[6632, 8142, 37360]	me aller changer
cefc-fleuron-V_defle_exo_04_04-83	c'est c'est pour le l'école	c'est c'est pour le l'école	[7095, 36480, 7095, 36480, 7194, 8476, 3082]	celui-là être celui-là être pour le école
cefc-fleuron-V_defle_exo_04_04-269	oui si c'est pas plus oui	oui si c'est pas plus oui	[5584, 28359, 7095, 36480, 5526, 5508, 5584]	oui si celui-là être non plus_ oui
cefc-fleuron-V_defle_exo_04_04-27	parce que là vous venez de d'une autre ville	parce que là vous venez de d'une autre ville	[11348, 5375, 7304, 32669, 7074, 8474, 17054, 2704]	parce_que là vous venir de une autre ville
cefc-fleuron-V_defle_exo_04_04-283_2	comme ça j'en ferai une photocopie	comme ça j'en ferai une photocopie	[12313, 6906, 9829, 6632, 11709, 6190, 8474, 9876]	comme celle-là prochain me au faire une photocopie
cefc-fleuron-V_defle_exo_04_04-102	par donc il faut faire deux chèques parce qu'on fait l'inscription sur deux logiciels hein	par donc il faut faire deux chèques parce qu'on fait l'inscription sur deux logiciels hein	[7212, 15523, 6190, 2628, 16605, 11348, 31672, 6190, 8476, 9902, 5451, 2628, 36832]	par devoir faire deux chèque parce_que nous faire le s'enregistrer sur deux agence_bancaire
cefc-fleuron-V_defle_exo_04_04-273	quoi en intéractivité nouvelles images c'est plutôt multimédia ou informatique	quoi en intéractivité nouvelles images c'est plutôt multimédia ou informatique	[22620, 11709, 7784, 7107, 7095, 36480, 14670, 9183, 11317, 9183]	quoi au article photo celui-là être choix bobine_de_film ou bobine_de_film
cefc-fleuron-V_defle_exo_04_04-59	je vais en je vais en faire des photocopies	je vais en je vais en faire des photocopies	[6632, 8142, 11709, 6632, 8142, 11709, 6190, 5374, 9876]	me aller au me aller au faire plusieurs photocopie
cefc-fleuron-V_defle_exo_04_04-66	c'est le diplôme et le certificat de licence	c'est le diplôme et le certificat de licence	[7095, 36480, 8476, 27724, 11399, 8476, 27677, 7074]	celui-là être le diplôme et le certificat de
cefc-fleuron-V_defle_exo_04_04-275	vous prenez euh vous aviez quoi comme sécurité sociale la mgel	vous prenez euh vous aviez quoi comme sécurité sociale la mgel	[9839, 7304, 10148, 7304, 32761, 22620, 12313, 12261, 8693, 8476, 12333]	passé vous prendre vous avoir quoi comme sécurité société le association_à_but_non_lucratif
cefc-fleuron-V_defle_exo_04_04-31	parce que c'est c'est c'est une partie de université de nancy	parce que c'est c'est c'est une partie de université de nancy	[11348, 7095, 36480, 7095, 36480, 7095, 36480, 8474, 27093, 7074, 2704]	parce_que celui-là être celui-là être celui-là être une pièce de ville
cefc-fleuron-V_defle_exo_04_04-36	ou alors le le récépissé	ou alors le le récépissé	[11317, 8476, 9184]	ou le ticket_de_caisse
cefc-fleuron-V_defle_exo_04_04-280	mais j'ai pas encore obtenu ah bon c'est vrai	mais j'ai pas encore obtenu ah bon c'est vrai	[11377, 9839, 6632, 32761, 5526, 37163, 24208, 34641, 7095, 36480, 5584]	alors_que passé me avoir non une_autre_fois attraper exact celui-là être oui
cefc-fleuron-V_defle_exo_04_04-91	ça d'accord	ça d'accord	[6906, 31410]	celle-là d'accord
cefc-fleuron-V_defle_exo_04_04-163	bah vous payez les trois cent quatre-vingt-dix-neuf euros cinquante-sept	bah vous payez les trois cent quatre-vingt-dix-neuf euros cinquante-sept	[7304, 29070, 8477, 35681, 29450, 4787, 29358]	vous payer les 3 99 cent_euros 57
cefc-fleuron-V_defle_exo_04_04-68	oui les deux c'est pour vous c'est photocopies	oui les deux c'est pour vous c'est photocopies	[5584, 5367, 7095, 36480, 7194, 7304, 7095, 36480, 9876]	oui à_côté_de celui-là être pour vous celui-là être photocopie
cefc-fleuron-V_defle_exo_04_04-30	parce qu'il me faut la la carte d'étudiant d'epinal parce qu'il faut que je reprenne le numéro d'i n e	parce qu'il me faut la la carte d'étudiant d'epinal parce qu'il faut que je reprenne le numéro d'i n e	[11348, 6632, 15523, 8476, 5505, 7074, 32666, 7074, 2704, 11348, 15523, 11351, 6632, 37163, 10148, 8476, 2879, 7074, 36779]	parce_que me devoir le carte_géographique de étudiant de ville parce_que devoir que me une_autre_fois prendre le numéro de i
cefc-fleuron-V_defle_exo_04_04-148	donc vous êtes née le dix mars quatre-vingt-deux	donc vous êtes née le dix mars quatre-vingt-deux	[9839, 7304, 37980, 8476, 29254, 35939, 29414]	passé vous naître le 10 mars 82
cefc-fleuron-V_defle_exo_04_04-17	vous avez euh choisi euh avec à quelle sécurité sociale	vous avez euh choisi euh avec à quelle sécurité sociale	[9839, 7304, 30510, 7064, 7041, 22624, 12261, 8693]	passé vous préférer avec à quelle sécurité société
cefc-fleuron-V_defle_exo_04_04-140	un euh nancy un deux mille sept euh	un euh nancy un deux mille sept euh	[2627, 2704, 2627, 2628, 29258, 7248]	un ville un deux 1000 7
cefc-fleuron-V_defle_exo_04_04-24	vous avez eu vos vingt-sept ans	vous avez eu vos vingt-sept ans	[9839, 7304, 32761, 12283, 29292, 6903]	passé vous avoir à_toi 27 année
cefc-fleuron-V_defle_exo_04_04-168	donc là vous n'oublierez pas de da de signer	donc là vous n'oublierez pas de da de signer	[5375, 9829, 7304, 26258, 5526, 7074, 12333, 7074, 38428]	là prochain vous oublier non de association_à_but_non_lucratif de signer
cefc-fleuron-V_defle_exo_04_04-249	donc à henri poincaré vous n'avez pas passé de diplôme	donc à henri poincaré vous n'avez pas passé de diplôme	[7041, 36935, 9839, 7304, 31999, 5526, 7074, 27724]	à haut_du_corps passé vous passer non de diplôme
cefc-fleuron-V_defle_exo_04_04-97	avec plus sécurité sociale	avec plus sécurité sociale	[7064, 5508, 12333]	avec plus_ association_à_but_non_lucratif
cefc-fleuron-V_defle_exo_04_04-259	donc euh université	donc euh université	[15537]	université
cefc-fleuron-V_defle_exo_04_04-133	là vous êtes dans un groupe	là vous êtes dans un groupe	[5375, 7304, 36480, 7034, 2627, 7116]	là vous être dans un groupe
cefc-fleuron-V_defle_exo_04_04-246	donc je vais mettre que c'était l'université université euh	donc je vais mettre que c'était l'université université euh	[9829, 9839, 6632, 6989, 11351, 7095, 36480, 8476, 15537]	prochain passé me mettre que celui-là être le université
cefc-fleuron-V_defle_exo_04_04-222	où quatre rue de minimes	où quatre rue de minimes	[7764, 2630, 2299, 7074, 32582]	où quatre rue de objets
cefc-fleuron-V_defle_exo_04_04-61	donc ça je ferai des photocopies	donc ça je ferai des photocopies	[6906, 9829, 6632, 6190, 5374, 9876]	celle-là prochain me faire plusieurs photocopie
cefc-fleuron-V_defle_exo_04_04-265	tcfok hum	tcfok hum	[37779]	quelqu'un
cefc-fleuron-V_defle_exo_04_04-144	parce qu'il faut que je reprenne le numéro d'ine	parce qu'il faut que je reprenne le numéro d'ine	[11348, 15523, 11351, 6632, 37163, 10148, 8476, 2879, 7074, 12333]	parce_que devoir que me une_autre_fois prendre le numéro de association_à_but_non_lucratif
cefc-fleuron-V_defle_exo_04_04-72	il manque l'acte de naissance	il manque l'acte de naissance	[6480, 32360, 8476, 11213]	il manquer le acte_de_naissance
cefc-fleuron-V_defle_exo_04_04-297	ah non euh non ça c'est la attendez	ah non euh non ça c'est la attendez	[5525, 6906, 7095, 36480, 8476, 37779]	non celle-là celui-là être le quelqu'un
cefc-fleuron-V_defle_exo_04_04-53	passeport oh	passeport oh	[6171]	passeport
cefc-fleuron-V_defle_exo_04_04-120	des examens euh delf dalf le a1 a2 b1 b2	des examens euh delf dalf le a1 a2 b1 b2	[7074, 38462, 12333, 8476, 4889, 37162]	de contrôle association_à_but_non_lucratif le 1 encore_une_fois
cefc-fleuron-V_defle_exo_04_04-48	ah ok oui oui oui	ah ok oui oui oui	[31410, 5584]	d'accord oui
cefc-fleuron-V_defle_exo_04_04-13	vous vous inscrivez pour un semestre ou pour l'année	vous vous inscrivez pour un semestre ou pour l'année	[7304, 9901, 7194, 2627, 32376, 11317, 7194, 8476, 6903]	vous enregistrement pour un sac_à_repas ou pour le année
cefc-fleuron-V_defle_exo_04_04-190	donc euh c'était henri poincaré	donc euh c'était henri poincaré	[9839, 7095, 36480, 36935]	passé celui-là être haut_du_corps
cefc-fleuron-V_defle_exo_04_04-105	non ça je sais plus c'est celui-là hein un semestre hein avec sécurité sociale	non ça je sais plus c'est celui-là hein un semestre hein avec sécurité sociale	[5525, 6906, 7180, 7095, 36480, 7095, 2627, 7064, 12333]	non celle-là je_ne_sais_plus celui-là être celui-là un avec association_à_but_non_lucratif
cefc-fleuron-V_defle_exo_04_04-262	hein vous devrez vous me rapporterez le master	hein vous devrez vous me rapporterez le master	[9829, 7304, 15523, 7304, 6632, 37223, 8476, 27724]	prochain vous devoir vous me ramener le diplôme
cefc-fleuron-V_defle_exo_04_04-19	parce que vous avez	parce que vous avez	[11348, 7304, 32761]	parce_que vous avoir
cefc-fleuron-V_defle_exo_04_04-74	je vous le redonne hein c'est celui-là que je vous redonne	je vous le redonne hein c'est celui-là que je vous redonne	[6632, 7304, 8476, 37163, 17040, 7095, 36480, 7095, 11351, 6632, 7304, 37163, 17040]	me vous le une_autre_fois donner celui-là être celui-là que me vous une_autre_fois donner
cefc-fleuron-V_defle_exo_04_04-206	deux mille sept deux mille huit	deux mille sept deux mille huit	[4890, 29258, 7248, 2628, 29258, 4896]	2 1000 7 deux 1000 8
cefc-fleuron-V_defle_exo_04_04-166	oui oui	oui oui	[5584]	oui
cefc-fleuron-V_defle_exo_04_04-256	mais vous avez vous avez passé quoi comme comme diplôme	mais vous avez vous avez passé quoi comme comme diplôme	[11377, 9839, 7304, 32761, 7304, 31999, 22620, 12313, 27724]	alors_que passé vous avoir vous passer quoi comme diplôme
cefc-fleuron-V_defle_exo_04_04-70	alors ça c'est pour la la euh fin d'études et licence	alors ça c'est pour la la euh fin d'études et licence	[6906, 7095, 36480, 7194, 8476, 37064, 7074, 36055, 11399, 15515]	celle-là celui-là être pour le fin de études et institution
cefc-fleuron-V_defle_exo_04_04-29	epinal ah	epinal ah	[37131]	orme
cefc-fleuron-V_defle_exo_04_04-142	oui mais la dernière année c'était	oui mais la dernière année c'était	[5584, 11377, 8476, 4765, 6903, 7095, 36480]	oui alors_que le dernier année celui-là être
cefc-fleuron-V_defle_exo_04_04-21	quatre-vingt-deux vous avez vous avez quel âge euh	quatre-vingt-deux vous avez vous avez quel âge euh	[29414, 7304, 32761, 7304, 32761, 22624, 7072]	82 vous avoir vous avoir quelle âge
cefc-fleuron-V_defle_exo_04_04-4	donc euh le le baccalauréat vous l'avez eu en quelle année	donc euh le le baccalauréat vous l'avez eu en quelle année	[8476, 31997, 9839, 7304, 8476, 32761, 11709, 22624, 6903]	le baccalauréat passé vous le avoir au quelle année
cefc-fleuron-V_defle_exo_04_04-212	le diplôme de fin d'é-	le diplôme de fin d'é-	[8476, 27724, 7074, 37064, 7074, 37651]	le diplôme de fin de irlande
cefc-fleuron-V_defle_exo_04_04-156	bah pourquoi vous voulez pas payer les deux par euh par chèque	bah pourquoi vous voulez pas payer les deux par euh par chèque	[24763, 7304, 5441, 29070, 5526, 5367, 7212, 16605]	pourquoi vous vouloir payer non à_côté_de par chèque
cefc-fleuron-V_defle_exo_04_04-274_2	pour la sécurité sociale	pour la sécurité sociale	[7194, 12333]	pour association_à_but_non_lucratif
cefc-fleuron-V_defle_exo_04_04-202	deux mille neuf et deux mille sept	deux mille neuf et deux mille sept	[2628, 29258, 4705, 11399, 2628, 29258, 7248]	deux 1000 neuf et deux 1000 7
cefc-fleuron-V_defle_exo_04_04-88	c'est pour université	c'est pour université	[7095, 36480, 7194, 15537]	celui-là être pour université
cefc-fleuron-V_defle_exo_04_04-129	euh b1 j'ai pas apporté	euh b1 j'ai pas apporté	[36480, 9839, 6632, 7280, 5526]	être passé me apporter non
cefc-fleuron-V_defle_exo_04_04-109	et vous avez le modèle en-dessous hein si sept cent trente-huit euros quarante-trois et trois cent quatre-vingt-dix-neuf cinquante	et vous avez le modèle en-dessous hein si sept cent trente-huit euros quarante-trois et trois cent quatre-vingt-dix-neuf cinquante	[11399, 7304, 32761, 8476, 28359, 7248, 29316, 4787, 29328, 11399, 35681, 29450, 29342]	et vous avoir le si 7 38 cent_euros 43 et 3 99 50
cefc-fleuron-V_defle_exo_04_04-175	parce que il y avait le l'acte de naissance c'était ça	parce que il y avait le l'acte de naissance c'était ça	[11348, 9001, 8476, 11213, 7095, 36480, 6906]	parce_que il_y_a le acte_de_naissance celui-là être celle-là
cefc-fleuron-V_defle_exo_04_04-128	pas vous aviez quel niveau euh tcf	pas vous aviez quel niveau euh tcf	[5526, 7304, 32761, 22624, 37864, 12333]	non vous avoir quelle étage association_à_but_non_lucratif
cefc-fleuron-V_defle_exo_04_04-267	vous ne l'aurez pas tout de suite le master	vous ne l'aurez pas tout de suite le master	[9829, 7304, 8476, 32761, 5526, 32747, 8476, 27724]	prochain vous le avoir non maintenant le diplôme
cefc-fleuron-V_defle_exo_04_04-34	donc il me faut ça il me faut la carte de séjour	donc il me faut ça il me faut la carte de séjour	[6632, 15523, 6906, 6632, 15523, 8476, 5505, 7074, 32416]	me devoir celle-là me devoir le carte_géographique de colonie_de_vacance
cefc-fleuron-V_defle_exo_04_04-209_2	le baccalauréat	le baccalauréat	[8476, 31997]	le baccalauréat
cefc-fleuron-V_defle_exo_04_04-130	le b1 bah vous me le rapporterez plus tard	le b1 bah vous me le rapporterez plus tard	[8476, 9829, 7304, 6632, 8476, 37223, 13080]	le prochain vous me le ramener suite_
cefc-fleuron-V_defle_exo_04_04-293	j'arrive pas rentrer le numéro de sécurité sociale	j'arrive pas rentrer le numéro de sécurité sociale	[6632, 16807, 29714, 5526, 8476, 2879, 7074, 12261, 8693]	me arrive rentrer_à_la_maison non le numéro de sécurité société
cefc-fleuron-V_defle_exo_04_04-223	oui oui c'est moi j'ai loué	oui oui c'est moi j'ai loué	[5584, 9839, 7095, 36480, 6632, 8012]	oui passé celui-là être me louer
cefc-fleuron-V_defle_exo_04_04-291	le dix trois quatre-vingt-deux	le dix trois quatre-vingt-deux	[8476, 29254, 35681, 29414]	le 10 3 82
cefc-fleuron-V_defle_exo_04_04-286	c'est un numéro euh définitif ça	c'est un numéro euh définitif ça	[7095, 36480, 2627, 2879, 6906]	celui-là être un numéro celle-là
cefc-fleuron-V_defle_exo_04_04-3	ah ici pour moi c'est la même chose	ah ici pour moi c'est la même chose	[5382, 2617, 7095, 36480, 8476, 4667, 11318]	ici à_moi celui-là être le même truc
cefc-fleuron-V_defle_exo_04_04-281	et vous n'avez pas un papier avec votre numéro	et vous n'avez pas un papier avec votre numéro	[11399, 7304, 32761, 5526, 2627, 8349, 7064, 12285, 2879]	et vous avoir non un papier avec votre numéro
cefc-fleuron-V_defle_exo_04_04-57	il me faut euh l'acte de naissance	il me faut euh l'acte de naissance	[6632, 15523, 8476, 11213]	me devoir le acte_de_naissance
cefc-fleuron-V_defle_exo_04_04-192	deux ah lyon donc je vais peut-être mettre euh	deux ah lyon donc je vais peut-être mettre euh	[2628, 2704, 6632, 8142, 6989]	deux ville me aller mettre
cefc-fleuron-V_defle_exo_04_04-56	une photo	une photo	[8474, 7107]	une photo
cefc-fleuron-V_defle_exo_04_04-240	zéro six soixante-dix-neuf	zéro six soixante-dix-neuf	[6972, 7241, 29406]	0 6 79
cefc-fleuron-V_defle_exo_04_04-282	si si	si si	[28359]	si
cefc-fleuron-V_defle_exo_04_04-20	mgel oui	mgel oui	[37779, 5584]	quelqu'un oui
cefc-fleuron-V_defle_exo_04_04-225	c'est un appartement privé	c'est un appartement privé	[7095, 36480, 2627, 25819, 22637]	celui-là être un appartement privé
cefc-fleuron-V_defle_exo_04_04-173	donc la ville de naissance est xining	donc la ville de naissance est xining	[8476, 2704, 7074, 32168, 36480, 2704]	le ville de accoucher être ville
cefc-fleuron-V_defle_exo_04_04-150	dix mars quatre-vingt-deux	dix mars quatre-vingt-deux	[29254, 35939, 29414]	10 mars 82
cefc-fleuron-V_defle_exo_04_04-108	sept cent trente-huit euros quarante-trois	sept cent trente-huit euros quarante-trois	[7248, 29316, 4787, 29328]	7 38 cent_euros 43
cefc-fleuron-V_defle_exo_04_04-118	est-ce que vous avez déjà passé des des examens en langue française	est-ce que vous avez déjà passé des des examens en langue française	[9839, 3418, 7304, 31999, 7074, 5374, 38462, 11709, 2944, 36367]	passé est-ce_que vous passer de plusieurs contrôle au langue français
cefc-fleuron-V_defle_exo_04_04-135	oui vous êtes dans quel groupe dans groupe six	oui vous êtes dans quel groupe dans groupe six	[5584, 7304, 36480, 7034, 22624, 7116, 7034, 7116, 2632]	oui vous être dans quelle groupe dans groupe six
cefc-fleuron-V_defle_exo_04_04-191	ah c'est lyon	ah c'est lyon	[7095, 36480, 2704]	celui-là être ville
cefc-fleuron-V_defle_exo_04_04-94	euh un semestre ici	euh un semestre ici	[2627, 8261, 5382]	un fin_d'année ici
cefc-fleuron-V_defle_exo_04_04-260	donc il faudrait me l'apporter le le master	donc il faudrait me l'apporter le le master	[15523, 6632, 8476, 7280, 8476, 27724]	devoir me le apporter le diplôme
cefc-fleuron-V_defle_exo_04_04-106	donc il faut faire un chèque de trois cent quatre-vingt-dix-neuf euros cinquante-sept	donc il faut faire un chèque de trois cent quatre-vingt-dix-neuf euros cinquante-sept	[15523, 6190, 2627, 16605, 7074, 35681, 29450, 4787, 29358]	devoir faire un chèque de 3 99 cent_euros 57
cefc-fleuron-V_defle_exo_04_04-126	oui donc il faudrait me le rapporter	oui donc il faudrait me le rapporter	[5584, 15523, 6632, 8476, 37223]	oui devoir me le ramener
cefc-fleuron-V_defle_exo_04_04-171	et il faudrait mettre votre nom et prénom derrière le chèque s'il vous plaît	et il faudrait mettre votre nom et prénom derrière le chèque s'il vous plaît	[11399, 15523, 6989, 12285, 38570, 11399, 27357, 5443, 8476, 16605, 8195]	et devoir mettre votre nom et prénom derrière le chèque prier
cefc-fleuron-V_defle_exo_04_04-52	donc il me faut votre passeport	donc il me faut votre passeport	[6632, 15523, 12285, 6171]	me devoir votre passeport
cefc-fleuron-V_defle_exo_04_04-103	ah donc je vais vous donner euh	ah donc je vais vous donner euh	[6632, 8142, 7304, 17040]	me aller vous donner
cefc-fleuron-V_defle_exo_04_04-93	donc vous avez choisi quel tarif	donc vous avez choisi quel tarif	[9839, 7304, 30510, 22624, 9874]	passé vous préférer quelle prix
cefc-fleuron-V_defle_exo_04_04-139	mille neuf que vous étiez à nancy	mille neuf que vous étiez à nancy	[29258, 4705, 11351, 9839, 7304, 36480, 7041, 2704]	1000 neuf que passé vous être à ville
cefc-fleuron-V_defle_exo_04_04-11	donc il me faut donc euh le passeport	donc il me faut donc euh le passeport	[6632, 15523, 8476, 6171]	me devoir le passeport
cefc-fleuron-V_defle_exo_04_04-272	c'était un master en	c'était un master en	[9839, 7095, 36480, 2627, 27724, 11709]	passé celui-là être un diplôme au
cefc-fleuron-V_defle_exo_04_04-65	au revoir donc il me faut euh	au revoir donc il me faut euh	[5896, 6632, 15523]	au_revoir me devoir
cefc-fleuron-V_defle_exo_04_04-58	hum ici c'est le original	hum ici c'est le original	[5382, 7095, 36480, 8476, 37779]	ici celui-là être le quelqu'un
cefc-fleuron-V_defle_exo_04_04-299	alors sept cent trente-huit euros quarante-trois	alors sept cent trente-huit euros quarante-trois	[7248, 29316, 4787, 29328]	7 38 cent_euros 43
cefc-fleuron-V_defle_exo_04_04-198	u- université lumière	u- université lumière	[8619]	lumière
cefc-fleuron-V_defle_exo_04_04-268	euh non il faut attendre au moins six mois pour le diplôme	euh non il faut attendre au moins six mois pour le diplôme	[5525, 15523, 28677, 11709, 5512, 2632, 37724, 7194, 8476, 27724]	non devoir attendre au minimum six mois pour le diplôme
cefc-fleuron-V_defle_exo_04_04-289	parce qu'il me dit incohérence avec la date de naissance	parce qu'il me dit incohérence avec la date de naissance	[11348, 6480, 6632, 9693, 7064, 8476, 10275]	parce_que il me dire avec le date_de_naissance
cefc-fleuron-V_defle_exo_04_04-33	mais vous me dites que vous étiez à epinal ouais	mais vous me dites que vous étiez à epinal oui	[11377, 9839, 7304, 6632, 9693, 11351, 7304, 36480, 7041, 2704, 5584]	alors_que passé vous me dire que vous être à ville oui
cefc-fleuron-V_defle_exo_04_04-89	celui-ci c'est pour université	celui-ci c'est pour université	[7095, 36480, 7194, 15537]	celui-là être pour université
cefc-fleuron-V_defle_exo_04_04-63	jusque onze heures et demi	jusque onze heures et demi	[29460, 19570]	11:00 à_demi_
cefc-fleuron-V_defle_exo_04_04-232	hum oui quatre rue des	hum oui quatre rue des	[5584, 2630, 2299, 7074]	oui quatre rue de
cefc-fleuron-V_defle_exo_04_04-237	donc vous avez un numéro de téléphone portable	donc vous avez un numéro de téléphone portable	[7304, 32761, 2627, 38573, 25269]	vous avoir un numéro_de_téléphone téléphone_portable
cefc-fleuron-V_defle_exo_04_04-77	et vous l' vous n'avez pas le l'acte de naissance	et vous l' vous n'avez pas le l'acte de naissance	[11399, 7304, 3033, 7304, 32761, 5526, 8476, 11213]	et vous l vous avoir non le acte_de_naissance
cefc-fleuron-V_defle_exo_04_04-143	deux mille huit deux mille neuf oui	deux mille huit deux mille neuf oui	[4890, 29258, 4896, 2628, 29258, 4705, 5584]	2 1000 8 deux 1000 neuf oui
cefc-fleuron-V_defle_exo_04_04-32	un oui	un oui	[2627, 5584]	un oui
cefc-fleuron-V_defle_exo_04_04-100	comment euh	comment euh	[22619]	comment
cefc-fleuron-V_defle_exo_04_04-79	alors celui-là je vous le redonne	alors celui-là je vous le redonne	[7095, 6632, 7304, 8476, 37163, 17040]	celui-là me vous le une_autre_fois donner
